,Entity,Code,Year,Breast,Cervix,Colon,Leukaemia,Liver,Lung,Ovary,Prostate,Rectum,Stomach,Avg_survival_per_year,Avg_surv_per_country
0,Algeria,DZA,1999.0,17.1,23.4,10.8,21.2,18.299999999999997,6.0,13.9,44.0,7.9,5.1,16.77,29.833333333333332
1,Algeria,DZA,2004.0,29.5,59.5,48.6,32.3,17.9,8.2,42.9,55.5,41.2,17.6,35.32,29.833333333333332
2,Algeria,DZA,2009.0,59.8,55.1,57.2,13.6,17.5,14.8,41.8,58.5,45.5,10.3,37.41,29.833333333333332
3,Jordan,JOR,2004.0,57.6,17.1,53.0,6.9,22.9,7.7,17.2,35.5,26.3,48.2,29.24,29.24
4,Jordan,JOR,2009.0,43.1,10.3,48.1,7.1,17.1,4.4,8.0,27.4,21.4,28.8,21.57,29.24
5,Qatar,QAT,2009.0,85.3,85.5,68.2,52.8,4.1,13.2,37.2,55.3,77.8,27.3,50.67,50.67
6,Saudi Arabia,SAU,1999.0,70.9,62.2,43.3,61.4,23.5,21.3,49.4,64.8,61.0,33.6,49.14,49.45
7,Saudi Arabia,SAU,2004.0,78.4,65.6,49.0,50.9,16.0,12.9,53.0,65.3,59.3,44.1,49.45,49.45
8,Saudi Arabia,SAU,2009.0,85.9,68.99999999999999,54.7,40.4,8.5,4.5,56.6,65.8,57.599999999999994,54.6,49.760000000000005,49.45
9,Jordan,JOR,1999.0,72.1,23.900000000000002,57.9,6.700000000000001,28.699999999999996,11.0,26.4,43.6,31.200000000000003,67.60000000000001,36.91,29.24
3,Argentina,ARG,2004.0,75.5,52.0,46.0,,,20.8,26.8,85.0,44.4,19.2,,46.87500000000001
4,Argentina,ARG,2009.0,76.6,50.6,40.6,90.0,24.2,11.9,29.7,86.6,31.0,16.0,,46.87500000000001
5,Argentina,ARG,1999.0,,45.9,,,,,,,,,,46.87500000000001
6,Australia,AUS,1999.0,84.6,69.9,60.3,47.5,13.2,13.7,36.1,83.7,59.9,25.9,,50.82
7,Australia,AUS,2004.0,86.4,68.4,63.1,51.0,14.3,14.8,37.0,86.8,63.8,27.8,,50.82
8,Australia,AUS,2009.0,86.2,67.1,64.2,51.1,14.7,15.0,37.5,88.5,64.2,27.9,,50.82
9,Austria,AUT,1999.0,78.7,62.3,57.1,39.8,8.7,14.1,42.2,84.7,54.8,29.5,,49.486666666666665
10,Austria,AUT,2004.0,81.4,65.4,60.2,43.3,11.0,15.6,40.4,89.8,59.8,30.0,,49.486666666666665
11,Austria,AUT,2009.0,82.9,66.0,63.0,45.8,12.9,17.9,41.6,90.5,62.1,33.1,,49.486666666666665
12,Belgium,BEL,2004.0,84.8,66.0,64.0,57.5,19.9,15.3,42.5,92.0,62.3,27.9,,53.835
13,Belgium,BEL,2009.0,85.4,65.2,64.6,59.4,19.6,16.6,43.0,92.6,64.7,33.4,,53.835
14,Brazil,BRA,1999.0,78.2,60.2,55.9,34.3,15.9,18.6,35.1,83.4,54.7,33.1,,47.473333333333336
15,Brazil,BRA,2004.0,86.9,67.5,58.1,30.1,17.9,13.7,41.3,93.0,52.8,28.2,,47.473333333333336
16,Brazil,BRA,2009.0,87.4,61.1,58.2,20.3,11.6,18.0,31.8,96.1,55.9,24.9,,47.473333333333336
17,Bulgaria,BGR,1999.0,68.0,46.7,39.5,21.2,4.7,5.9,27.7,45.2,31.0,11.2,,32.74666666666667
18,Bulgaria,BGR,2004.0,71.2,49.4,43.8,24.1,3.8,5.7,32.9,49.7,36.9,11.1,,32.74666666666667
19,Bulgaria,BGR,2009.0,73.9,53.0,47.0,25.0,5.0,6.3,35.4,53.4,40.8,12.9,,32.74666666666667
20,Canada,CAN,1999.0,83.7,66.2,56.8,46.8,12.1,15.1,36.5,87.5,56.5,21.1,,50.37
21,Canada,CAN,2004.0,85.3,67.5,60.1,52.4,15.4,15.6,35.5,91.0,60.5,23.1,,50.37
22,Canada,CAN,2009.0,85.8,66.8,62.8,55.2,17.7,17.3,37.5,91.7,62.8,24.8,,50.37
23,Chile,CHL,1999.0,73.3,41.9,39.0,,,,,69.7,,13.4,,35.678333333333335
24,Chile,CHL,2004.0,76.8,55.5,36.4,10.3,4.5,6.2,29.6,81.2,41.7,16.4,,35.678333333333335
25,Chile,CHL,2009.0,77.1,50.9,43.3,16.1,7.9,6.3,32.2,88.7,37.7,18.0,,35.678333333333335
26,China,CHN,1999.0,53.8,40.1,33.5,4.7,2.4,7.5,41.0,62.9,28.9,15.3,,37.72
27,China,CHN,2004.0,78.0,56.1,51.2,18.2,10.9,18.1,42.6,55.8,48.0,29.0,,37.72
28,China,CHN,2009.0,80.9,59.9,54.6,21.2,12.5,17.5,38.9,63.8,53.2,31.1,,37.72
29,Colombia,COL,1999.0,65.7,50.6,29.2,,3.7,6.1,27.3,67.1,,15.4,,35.47962962962963
30,Colombia,COL,2004.0,70.4,56.8,42.3,19.6,4.3,9.0,33.0,80.5,,17.7,,35.47962962962963
31,Colombia,COL,2009.0,76.1,59.3,43.3,20.1,5.3,9.0,31.1,78.6,,16.6,,35.47962962962963
32,Croatia,HRV,1999.0,77.5,68.1,50.1,38.6,13.2,16.5,37.5,61.4,44.6,24.0,,43.36333333333333
33,Croatia,HRV,2004.0,75.1,65.6,49.8,37.2,11.6,15.2,39.1,67.7,46.5,21.6,,43.36333333333333
34,Croatia,HRV,2009.0,77.9,65.3,52.0,37.6,12.2,13.6,36.8,75.1,48.2,21.3,,43.36333333333333
35,Cuba,CUB,1999.0,72.8,66.4,45.8,,,21.8,35.4,54.5,,26.2,,47.06666666666666
36,Cuba,CUB,2004.0,73.3,61.9,44.1,,,14.1,34.7,47.6,,23.8,,47.06666666666666
37,Cuba,CUB,2009.0,77.7,64.0,46.4,59.6,,18.2,39.8,56.1,,26.2,,47.06666666666666
38,Cyprus,CYP,2004.0,88.7,,68.4,,,18.4,,,,42.9,,54.65
39,Cyprus,CYP,2009.0,90.6,64.5,58.1,61.3,9.8,15.4,43.2,93.1,70.2,26.3,,54.65
40,Czechia,CZE,1999.0,72.7,61.3,45.3,42.8,4.7,8.5,32.6,64.6,38.6,16.6,,42.64333333333333
41,Czechia,CZE,2004.0,77.8,62.2,51.4,46.8,5.5,10.9,34.5,75.6,46.9,21.8,,42.64333333333333
42,Czechia,CZE,2009.0,80.0,64.5,54.9,46.1,7.2,12.3,36.6,83.1,50.3,23.2,,42.64333333333333
43,Denmark,DNK,1999.0,75.8,63.1,48.2,45.4,2.6,8.0,31.2,46.4,47.6,13.8,,42.57666666666667
44,Denmark,DNK,2004.0,80.7,63.2,52.1,51.2,4.4,9.6,33.2,64.0,53.8,15.3,,42.57666666666667
45,Denmark,DNK,2009.0,82.0,64.8,55.9,56.8,6.1,11.3,37.3,77.2,58.4,17.9,,42.57666666666667
46,Ecuador,ECU,1999.0,68.9,59.7,61.5,29.5,16.2,34.5,35.2,76.3,45.5,40.1,,49.79333333333334
47,Ecuador,ECU,2004.0,79.6,58.5,69.9,36.0,15.3,37.8,44.7,90.9,48.3,28.5,,49.79333333333334
48,Ecuador,ECU,2009.0,83.2,61.7,68.2,33.5,17.7,28.7,47.0,92.4,52.6,31.9,,49.79333333333334
