,location_name,year,Average,cause_name,metric_name,val_y,upper,lower
0,Jordan,2008,78.61814141984672,Thyroid cancer,Number,74.07289390686356,106.24811353404668,46.37520722286395
1,Jordan,2008,78.61814141984672,Mesothelioma,Number,2.437006361597268,3.415642797256061,1.6221204796480595
2,Jordan,2008,78.61814141984672,Hodgkin lymphoma,Number,7.778268492565957,11.19159764490032,4.899457983501652
3,Jordan,2008,78.61814141984672,Non-Hodgkin lymphoma,Number,109.79443264044691,150.51137849452596,75.09205733248933
4,Jordan,2008,78.61814141984672,Multiple myeloma,Number,19.269294949377716,27.016233264417505,12.740088586710987
5,Jordan,2008,78.61814141984672,Leukemia,Number,319.9478194667744,440.1937001953252,221.4132667159119
6,Jordan,2008,78.61814141984672,Other neoplasms,Number,16.995715790742477,26.73649139344283,10.09514857905872
7,Syrian Arab Republic,2008,179.3549762266116,Other malignant neoplasms,Number,351.36397506838176,487.1271421108751,237.07577363192365
8,Yemen,2008,146.03893319452123,Larynx cancer,Number,121.88825296690108,178.98527425457257,72.44661397885564
9,Yemen,2008,146.03893319452123,"Tracheal, bronchus, and lung cancer",Number,210.1832624732916,335.8397038691103,124.5550318237245
10,Yemen,2008,146.03893319452123,Breast cancer,Number,621.4365322429853,955.1022242368618,363.4410705855928
11,Yemen,2008,146.03893319452123,Cervical cancer,Number,152.25823849168833,243.5570042658096,78.78813517973146
12,Yemen,2008,146.03893319452123,Uterine cancer,Number,39.68424710291407,71.42503072867673,21.805028402121653
13,Yemen,2008,146.03893319452123,Prostate cancer,Number,248.43457346066245,369.6186672417351,152.75217902223864
14,Yemen,2008,146.03893319452123,Colon and rectum cancer,Number,258.28777470096213,374.45490728128766,164.29984456211642
15,Oman,2008,31.971436645558253,Malignant skin melanoma,Number,4.468975927882703,6.504792810281019,2.6894798412182035
16,Oman,2008,31.971436645558253,Non-melanoma skin cancer,Number,0.389818831507241,0.5772030636108323,0.2542639600791699
17,Oman,2008,31.971436645558253,Ovarian cancer,Number,17.887368032974983,24.745578169682343,12.05381023417505
18,Oman,2008,31.971436645558253,Testicular cancer,Number,7.199229237536925,15.581675433099807,2.578973962849579
